orderdate,shipdate,shipmode,customername,segment,country,market,category,productname,sales,quantity,profit,shippingcost,row_no
2011-01-01,2011-06-01,Standard Class,Toby Braunhardt,Consumer,Algeria,Africa,Office Supplies,Tenex Lockers,408,2,106.14,35.46,1
2011-01-01,2011-08-01,Standard Class,Joseph Holt,Consumer,Australia,APAC,Office Supplies,Acme Trimmer,120,3,36.036,9.72,2
2011-01-01,2011-05-01,Second Class,Annie Thurman,Consumer,Hungary,EMEA,Office Supplies,Tenex Box,66,4,29.64,8.17,3
2011-01-01,2011-05-01,Second Class,Eugene Moren,Home Office,Sweden,EU,Office Supplies,Enermax Note Cards,45,3,-26.055,4.82,4
2011-01-01,2011-08-01,Standard Class,Joseph Holt,Consumer,Australia,APAC,Furniture,Eldon Light Bulb,114,5,37.77,4.7,5
2011-01-01,2011-08-01,Standard Class,Joseph Holt,Consumer,Australia,APAC,Office Supplies,Eaton Computer Printout Paper,55,2,15.342,1.8,6
2011-02-01,2011-06-01,Standard Class,Magdelene Morse,Consumer,Canada,Canada,Technology,Okidata Inkjet,314,1,3.12,24.1,7
2011-03-01,2011-03-01,Same Day,Kean Nguyen,Corporate,Australia,APAC,Office Supplies,Hoover Microwave,276,1,110.412,125.32,8
2011-03-01,2011-09-01,Standard Class,Ken Lonsdale,Consumer,New Zealand,APAC,Technology,Hewlett Wireless Fax,912,4,-319.464,107.1,9
2011-03-01,2011-07-01,Standard Class,Lindsay Williams,Corporate,Iraq,EMEA,Furniture,Novimex Swivel Stool,667,4,253.32,81.26,10
2011-03-01,2011-07-01,Second Class,Larry Blacks,Consumer,Philippines,APAC,Office Supplies,Tenex Lockers,338,3,-122.8005,33.75,11
2011-03-01,2011-07-01,Second Class,Larry Blacks,Consumer,Philippines,APAC,Furniture,Chromcraft Round Table,211,1,-70.3995,21.32,12
2011-03-01,2011-07-01,Standard Class,Dorothy Dickinson,Consumer,United Kingdom,EU,Furniture,Dania Corner Shelving,854,7,290.43,12.56,13
2011-03-01,2011-09-01,Standard Class,Dennis Pardue,Home Office,Malaysia,APAC,Technology,Hewlett Fax and Copier,193,1,50.13,10.4,14
2011-03-01,2011-09-01,Standard Class,Ken Lonsdale,Consumer,New Zealand,APAC,Furniture,Hon Rocking Chair,159,2,-95.676,10.07,15
2011-03-01,2011-07-01,Standard Class,Stewart Visinsky,Consumer,Guatemala,LATAM,Technology,Nokia Headset,195,4,44.88,8.43,16
2011-03-01,2011-07-01,Standard Class,Jas O'Carroll,Consumer,Iran,EMEA,Office Supplies,Breville Coffee Grinder,123,2,42.9,8.41,17
2011-03-01,2011-09-01,Standard Class,Ken Lonsdale,Consumer,New Zealand,APAC,Technology,Belkin Numeric Keypad,69,2,3.42,8.34,18
2011-03-01,2011-09-01,Standard Class,Ken Lonsdale,Consumer,New Zealand,APAC,Furniture,SAFCO Chairmat,69,2,-26.412,8.17,19
2011-03-01,2011-08-01,Standard Class,Chris McAfee,Consumer,Thailand,APAC,Office Supplies,Smead File Cart,135,2,-45.9018,7.74,20
2011-03-01,2011-03-01,Same Day,Kean Nguyen,Corporate,Australia,APAC,Office Supplies,Avery Color Coded Labels,36,3,4.743,7.46,21
2011-03-01,2011-08-01,Second Class,Nat Gilpin,Corporate,Iran,EMEA,Office Supplies,BIC Sketch Pad,52,1,7.77,5.91,22
2011-03-01,2011-07-01,Standard Class,Jas O'Carroll,Consumer,Iran,EMEA,Office Supplies,Rogers Folders,62,2,8.7,5.16,23
2011-03-01,2011-08-01,Standard Class,Jack Garza,Consumer,Tanzania,Africa,Office Supplies,Stiletto Scissors,81,4,26.76,5.11,24
2011-03-01,2011-07-01,Standard Class,Lindsay Williams,Corporate,Iraq,EMEA,Office Supplies,Cameo Interoffice Envelope,47,1,17.07,3.57,25
2011-03-01,2011-07-01,Second Class,Larry Blacks,Consumer,Philippines,APAC,Office Supplies,Stockwell Staples,6,1,0.546,0.8,26
2011-03-01,2011-07-01,Standard Class,Jas O'Carroll,Consumer,Iran,EMEA,Office Supplies,Advantus Rubber Bands,17,1,4.17,0.54,27
2011-04-01,2011-09-01,Second Class,Russell Applegate,Consumer,Brazil,LATAM,Furniture,Dania Classic Bookcase,1,6,609.84,109.13,28
